held_speaker,cross_per,n_test,method,sec
Spk1,0.9052,150,supcon,453.0
Spk2,0.9759,150,supcon,410.0
Spk3,0.884,150,supcon,420.0
Spk4,0.9938,150,supcon,420.0
Spk5,0.9626,150,supcon,424.0
